Subject, Waytotal, Total, PAG_NVox, AON, AON_NVox, AON_NVoxPath, PirF, PirF_NVox, PirF_NVoxPath, PirT, PirT_NVox, PirT_NVoxPath, Tub, Tub_NVox, Tub_NVoxPath, 
293748, 912994  , 13828.999935, 185, 322.000036, 230, 97, 2721.999972, 175, 174, 1394.000030, 354, 158, 9391.000020, 151, 183, 
295146, 871719  , 47899.000068, 178, 482.000052, 346, 127, 12634.999988, 179, 178, 7343.000052, 367, 177, 27438.999930, 142, 178, 
297655, 809702  , 38885.999992, 166, 846.999975, 265, 113, 13840.999988, 179, 166, 6535.000004, 402, 164, 17662.999924, 123, 166, 
298051, 1121095  , 19838.999985, 228, 802.999971, 336, 177, 6457.000044, 213, 204, 5743.000044, 420, 204, 6836.000031, 178, 203, 
299154, 939665  , 4696.999938, 190, 1300.000045, 280, 95, 535.000024, 260, 104, 1129.000005, 535, 119, 1732.999995, 212, 135, 
300618, 1267856  , 71148.000077, 259, 2217.000050, 485, 218, 21863.999892, 223, 259, 19961.999994, 477, 258, 27105.000090, 190, 259, 
303119, 900340  , 6586.999925, 185, 82.999980, 351, 57, 2153.999961, 239, 171, 1530.999940, 437, 170, 2819.000066, 155, 181, 
304727, 827797  , 7543.999978, 170, 87.000018, 379, 42, 2089.000035, 226, 153, 2005.999990, 451, 157, 3362.000021, 169, 163, 
308331, 985443  , 71009.999946, 207, 118.000030, 339, 74, 24947.000052, 182, 206, 14737.999955, 417, 203, 31206.999978, 135, 207, 
309636, 978867  , 21596.999961, 201, 601.999944, 361, 168, 5195.999946, 201, 201, 6408.999972, 438, 201, 9390.000018, 170, 201, 
310621, 839020  , 23186.999961, 171, 274.000042, 309, 86, 7214.000079, 196, 169, 5619.999987, 450, 171, 10078.999950, 160, 170, 
316633, 927283  , 37433.999988, 189, 1176.000048, 305, 144, 10596.999987, 206, 189, 7401.999969, 373, 189, 18259.000074, 137, 189, 
316835, 744271  , 75618.999992, 152, 1091.000040, 317, 130, 25695.999935, 244, 151, 14989.000051, 515, 151, 33843.000032, 149, 152, 
318637, 1041830  , 14283.000060, 211, 264.000000, 362, 100, 2628.999981, 288, 207, 4233.000064, 499, 206, 7156.999920, 221, 210, 
336841, 912972  , 35104.000038, 187, 617.000020, 376, 140, 9302.000058, 225, 186, 7675.000026, 418, 186, 17510.000010, 154, 186, 
352132, 968976  , 17740.000006, 196, 228.000026, 348, 101, 6231.000006, 241, 189, 7910.000083, 450, 191, 3370.999950, 184, 190, 
361941, 1011391  , 72707.999903, 209, 190.000032, 423, 96, 21979.999992, 244, 204, 16083.999981, 482, 207, 34453.999908, 192, 207, 
371843, 957809  , 11238.000060, 196, 855.000000, 278, 160, 2382.999950, 268, 193, 4094.000042, 608, 194, 3906.000042, 218, 191, 
377451, 1009103  , 31943.999966, 210, 586.000008, 366, 132, 10678.000000, 240, 200, 8274.000063, 504, 203, 12406.000084, 164, 202, 
380036, 1060340  , 17413.000070, 217, 438.000038, 385, 134, 3183.000052, 230, 202, 1823.999951, 474, 197, 11967.999909, 191, 213, 
381038, 914181  , 10265.999952, 187, 120.000030, 383, 82, 1431.000000, 202, 180, 1763.999936, 452, 181, 6951.000056, 165, 182, 
386250, 1006999  , 6960.999931, 211, 237.000000, 387, 120, 2095.000011, 220, 207, 2754.999962, 436, 209, 1873.999963, 186, 209, 
387959, 1049005  , 14987.999964, 221, 158.999966, 406, 94, 4216.000090, 255, 214, 3936.000016, 524, 208, 6677.000010, 187, 215, 
393247, 927560  , 67955.000008, 192, 394.000050, 370, 111, 23680.999944, 224, 186, 17374.000017, 430, 187, 26506.000032, 162, 184, 
393550, 903098  , 7121.000068, 184, 79.000020, 356, 55, 1755.000078, 196, 178, 1884.000060, 392, 178, 3403.000084, 152, 178, 
395251, 986520  , 28172.999953, 204, 382.999974, 424, 147, 8475.999992, 234, 202, 8738.999983, 482, 203, 10574.999988, 168, 203, 
395756, 959987  , 30557.999948, 196, 533.000022, 299, 141, 10076.999985, 250, 195, 13222.000064, 474, 196, 6726.000013, 173, 193, 
397154, 996992  , 36153.000018, 207, 175.999980, 298, 102, 10404.999900, 209, 207, 15280.999992, 438, 207, 10291.000000, 144, 205, 
397760, 1022860  , 31685.000080, 207, 1661.999955, 327, 165, 10066.000021, 194, 203, 8377.000094, 392, 206, 11579.999940, 150, 201, 
412528, 782113  , 4941.999972, 161, 309.999994, 241, 89, 1447.999962, 208, 159, 1997.000000, 397, 160, 1187.000070, 152, 157, 
414229, 1024833  , 13243.999932, 207, 339.999984, 352, 114, 3732.000000, 177, 200, 4613.999968, 347, 202, 4557.999930, 142, 205, 
432332, 975319  , 51393.000000, 200, 681.999939, 333, 177, 14964.999995, 205, 199, 10377.000000, 407, 200, 25369.000000, 155, 200, 
433839, 997823  , 50107.999908, 206, 169.999960, 373, 104, 13118.000088, 222, 204, 15009.999960, 502, 205, 21809.999994, 173, 202, 
436845, 866445  , 59252.000016, 176, 242.000020, 183, 115, 21771.000064, 230, 176, 12053.999936, 369, 176, 25185.000016, 161, 176, 
449753, 1199568  , 24411.999920, 245, 393.000036, 498, 169, 4605.000000, 249, 240, 3610.000080, 551, 240, 15803.999883, 187, 241, 
459453, 813763  , 65578.999980, 169, 3447.000018, 289, 161, 19656.999921, 203, 169, 17714.999965, 427, 169, 24760.000044, 155, 169, 
465852, 783668  , 13511.999946, 160, 791.999944, 328, 136, 3408.000035, 211, 155, 2438.000048, 341, 152, 6874.000056, 156, 154, 
479762, 946825  , 57263.999959, 193, 164.999997, 446, 81, 19230.999936, 251, 192, 8073.999941, 524, 191, 29793.999936, 189, 192, 
495255, 1223117  , 34857.000012, 246, 386.000030, 377, 130, 10591.999911, 260, 243, 6578.000107, 517, 239, 17301.000115, 213, 245, 
499566, 1011149  , 5124.000010, 209, 967.000047, 343, 123, 1085.000076, 216, 188, 1703.999986, 420, 199, 1368.000019, 177, 193, 
510326, 1010047  , 25782.000012, 204, 280.999946, 380, 127, 6451.000000, 195, 200, 7336.999964, 419, 202, 11713.000068, 149, 204, 
517239, 976075  , 68399.000010, 199, 304.000050, 530, 106, 21932.000046, 258, 198, 16024.000014, 447, 198, 30139.000056, 189, 198, 
520228, 1011166  , 7030.999998, 205, 189.999980, 371, 103, 2232.000030, 245, 195, 1778.000050, 449, 190, 2831.000088, 175, 196, 
524135, 1074111  , 14245.000066, 219, 339.000034, 338, 134, 4761.999955, 219, 215, 2384.999968, 459, 208, 6759.000072, 181, 216, 
525541, 856185  , 42948.000036, 177, 281.999975, 387, 113, 14483.000048, 243, 176, 12677.999950, 470, 175, 15504.999990, 143, 177, 
529549, 795935  , 44886.999984, 163, 175.999960, 378, 94, 9538.999936, 258, 163, 13009.000008, 460, 163, 22162.999975, 206, 163, 
529953, 1011370  , 23595.000095, 211, 236.999971, 440, 107, 6426.999974, 267, 206, 5601.999936, 491, 204, 11328.999973, 218, 211, 
530635, 1022306  , 13968.999915, 207, 233.000000, 397, 100, 4618.000000, 219, 200, 3455.999959, 465, 197, 5661.999939, 182, 199, 
553344, 897047  , 26182.000026, 182, 945.000054, 258, 158, 8829.000000, 236, 180, 7335.999974, 473, 178, 9072.000007, 168, 181, 
555348, 892512  , 54720.999970, 182, 966.000014, 208, 133, 13507.999954, 175, 181, 17489.000074, 378, 182, 22757.999992, 177, 182, 
555651, 965927  , 34303.999950, 199, 522.999928, 378, 152, 10477.999935, 255, 195, 9259.000000, 551, 197, 14044.000035, 171, 195, 
559053, 890870  , 22041.000061, 182, 494.999970, 380, 123, 5927.999922, 222, 179, 4566.999934, 394, 178, 11051.000069, 169, 181, 
561444, 1301742  , 43378.000012, 268, 363.999974, 492, 169, 13230.000054, 303, 267, 12350.000120, 574, 268, 17434.000052, 240, 268, 
562345, 925119  , 101245.999964, 188, 3012.999913, 333, 187, 35591.000040, 217, 188, 19358.999952, 423, 188, 43282.999924, 171, 188, 
567052, 1124176  , 10913.000038, 229, 20.999998, 390, 17, 2263.999946, 259, 206, 2847.999968, 532, 188, 5779.999985, 183, 227, 
567961, 865557  , 33618.000060, 181, 662.000062, 333, 146, 11371.000060, 223, 179, 7193.999976, 460, 179, 14391.000000, 168, 180, 
568963, 912124  , 31212.000072, 186, 2868.999936, 252, 176, 8120.999940, 183, 186, 7378.999998, 383, 186, 12842.999982, 145, 186, 
571144, 1063854  , 30610.999960, 218, 222.000008, 414, 118, 9535.000050, 224, 214, 8156.000060, 397, 215, 12698.000086, 162, 214, 
573249, 1001277  , 13131.999933, 204, 145.999995, 314, 85, 3544.000020, 223, 198, 4369.000026, 413, 199, 5072.999976, 162, 198, 
576255, 916146  , 57083.000052, 188, 2578.000048, 365, 151, 16691.999992, 194, 188, 14549.000024, 387, 188, 23263.999979, 145, 187, 
580044, 838180  , 21555.000048, 173, 380.000040, 316, 140, 5348.999975, 184, 173, 4166.999965, 399, 173, 11659.000072, 159, 173, 
580751, 1124347  , 5798.999992, 228, 207.000015, 387, 111, 1503.999936, 234, 192, 1662.999954, 551, 203, 2425.000101, 205, 213, 
581349, 1042642  , 61644.000024, 216, 499.999984, 195, 179, 20807.000064, 165, 216, 15909.999912, 396, 216, 24427.000008, 144, 216, 
585256, 994659  , 18822.000036, 203, 296.000056, 300, 136, 7718.000000, 188, 200, 5443.000090, 354, 202, 5365.000000, 172, 200, 
587664, 714099  , 8393.000055, 146, 222.000025, 351, 85, 2302.000056, 247, 142, 2742.999945, 458, 145, 3126.000051, 240, 139, 
597869, 1097512  , 14477.999952, 228, 82.000026, 429, 54, 3398.000076, 279, 213, 1785.000076, 520, 211, 9213.000060, 161, 220, 
598568, 1106303  , 17025.000072, 233, 1085.999940, 378, 135, 4951.000010, 283, 230, 3677.000026, 598, 227, 7310.999892, 199, 228, 
599671, 1050377  , 19025.000037, 215, 562.999944, 369, 152, 5827.000054, 210, 211, 2630.000004, 376, 202, 10005.000082, 192, 211, 
604537, 1215313  , 40646.000000, 251, 220.000014, 432, 117, 14728.000000, 221, 250, 13218.999912, 497, 248, 12479.000034, 168, 249, 
611938, 1097317  , 8364.999900, 223, 197.999985, 368, 115, 1640.999953, 189, 197, 1899.000000, 432, 200, 4626.999930, 175, 210, 
616645, 1160058  , 40800.999966, 237, 194.999944, 380, 116, 11683.999986, 220, 237, 6174.999944, 482, 236, 22747.000011, 174, 237, 
618952, 1133130  , 21366.999936, 229, 1228.000089, 409, 183, 6673.000098, 247, 222, 6646.999902, 485, 222, 6819.000100, 163, 220, 
