TUB_with_NAccRegressed,PAG_with_NAccRegressed,NAcc_with_TUBRegressed,PAG_with_TUBRegressed
0.472566954281984,0.177376656268464,0.728349914871715,0.1829637849654
0.495801274626403,0.238276523168584,0.730197303706848,0.237633563642313
0.542975428368274,0.263060088314397,0.709680702982088,0.250604243457051
0.460671914854183,0.216542942240179,0.700679569406943,0.226240787010815
0.492503174687162,0.185153757410671,0.749828831512112,0.184709443377201
0.52072197454916,0.293316363537369,0.675214323085106,0.287954618497017
0.472823576536839,0.17277572895436,0.71936823493319,0.178604336770867
0.45138950348091,0.265979341089705,0.715194443007903,0.277640437867815
0.486646830358297,0.307378787796673,0.687365526581249,0.310641782715194
0.464890132094584,0.21751837799668,0.777182911103388,0.223459732385343
0.568765265497963,0.226799164624405,0.640107871291922,0.209896757731396
0.457506484176272,0.22189360342282,0.754359371020444,0.230581283085151
0.430118331195401,0.260382615283858,0.749333302026974,0.276512379375002
0.472529650998913,0.238267882049887,0.666088936530398,0.246010966634954
0.521100025806627,0.238426990964418,0.663114844215973,0.233381964173647
0.457519465561708,0.228175351297397,0.699687399606935,0.238744057974787
0.485515612997063,0.191917411225806,0.731477475252289,0.193960150393596
0.523380988817539,0.28022812272011,0.659327908678046,0.27470825691789
0.479548356591537,0.316591225264317,0.714773832313203,0.320793433071598
0.504265544514693,0.296841025191821,0.722452015075826,0.294218610344166
0.562716789040998,0.261726072184489,0.623401723033739,0.247004776166375
0.464962815194338,0.273635838723864,0.721590498539948,0.281474101653191
0.486407381410651,0.226647439572386,0.678455414558274,0.230281104534238
0.44309524305659,0.273096696594793,0.794741455747602,0.284217215265282
0.521393536587747,0.204089106841181,0.60109683828259,0.201103862620329
0.551982153838831,0.218656792431593,0.583223193461707,0.208169381043572
0.524287793818837,0.376439697682632,0.619874946651849,0.372039057632636
0.498875815795148,0.288275286371895,0.744946888525277,0.286307941491899
0.444559194090585,0.187482210798509,0.692527862249616,0.201737366083897
0.581633423078429,0.316583995849923,0.606558155701538,0.297422782868724
0.427945578676542,0.254026599338649,0.752616199415548,0.27061985681631
0.486137054087437,0.25737220782886,0.726677654376189,0.259415459559872
0.594911808797494,0.250420365290014,0.59122022080488,0.228263734701626
0.490715691369507,0.181818908333159,0.791870342568549,0.180399877481358
0.48380765737825,0.282871466777888,0.76977837236065,0.284047316533706
0.502605082401896,0.298593128287919,0.710225999146338,0.296832816681118
0.459907931247965,0.193207841138578,0.76105544823679,0.201027369284282
0.561192417691817,0.307833338996704,0.631966461694432,0.293221397123754
0.480675235169248,0.253498499179812,0.720478617678879,0.257204995733381
0.568239597929896,0.213985098478202,0.570772357986023,0.199612109916233
0.466572203544995,0.31172875658144,0.732807981537838,0.318753234124231
